Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2009,KS,Mathematics,4,Non-Special Education,247.63,232.15,248.51,264.37,24.09,8.49,42.26,91.51,42.46,49.25,6.79,6.79
2009,KY,Mathematics,4,Non-Special Education,240.74,222.64,241.22,259.19,27.08,16.71,44.56,83.29,32.55,38.73,6.18,6.18
2009,LA,Mathematics,4,Non-Special Education,232.74,216.07,233.10,249.46,24.65,22.65,51.65,77.35,23.64,25.70,2.06,2.06
2009,ME,Mathematics,4,Non-Special Education,248.58,232.33,249.28,265.41,24.84,8.47,41.06,91.53,42.14,50.47,8.33,8.33
2009,MD,Mathematics,4,Non-Special Education,245.48,226.46,245.70,264.78,27.37,12.86,41.61,87.14,36.20,45.52,9.32,9.32
2009,MA,Mathematics,4,Non-Special Education,254.94,239.56,255.91,272.16,25.28,5.73,33.12,94.27,47.69,61.15,13.46,13.46
2009,MI,Mathematics,4,Non-Special Education,238.42,220.08,240.02,258.54,28.90,19.43,43.32,80.57,31.64,37.25,5.62,5.62
2009,MN,Mathematics,4,Non-Special Education,252.04,235.05,253.63,270.91,26.60,8.88,34.07,91.12,44.59,57.05,12.47,12.47
2009,MS,Mathematics,4,Non-Special Education,228.72,210.83,229.03,247.54,26.80,28.82,47.81,71.18,21.74,23.37,1.63,1.63
2009,MO,Mathematics,4,Non-Special Education,242.78,225.16,244.49,261.65,27.33,14.80,42.07,85.20,36.70,43.12,6.42,6.42
2009,MT,Mathematics,4,Non-Special Education,246.84,230.99,248.27,263.44,23.99,8.99,42.13,91.01,42.70,48.88,6.18,6.18
2009,NE,Mathematics,4,Non-Special Education,241.99,226.16,243.46,259.81,25.65,13.85,44.39,86.15,37.20,41.76,4.56,4.56
2009,NV,Mathematics,4,Non-Special Education,237.01,219.96,238.19,255.27,26.23,19.08,47.15,80.92,30.40,33.77,3.37,3.37
2009,NH,Mathematics,4,Non-Special Education,255.04,239.65,255.93,270.78,23.21,4.29,34.22,95.71,49.81,61.49,11.68,11.68
2009,NJ,Mathematics,4,Non-Special Education,249.14,231.77,250.58,267.28,26.13,9.75,37.97,90.25,42.52,52.28,9.76,9.76
2009,NM,Mathematics,4,Non-Special Education,232.25,213.40,232.79,251.82,28.00,25.52,46.27,74.48,24.97,28.21,3.24,3.24
2009,NY,Mathematics,4,Non-Special Education,244.47,227.51,245.85,262.43,25.64,12.37,42.49,87.63,38.94,45.13,6.19,6.19
2009,NC,Mathematics,4,Non-Special Education,246.71,229.26,246.43,264.10,26.04,10.13,43.57,89.87,37.16,46.31,9.15,9.15
2009,ND,Mathematics,4,Non-Special Education,247.30,232.82,247.84,262.24,22.22,6.92,45.03,93.08,42.58,48.05,5.47,5.47
2009,OH,Mathematics,4,Non-Special Education,246.65,228.57,248.12,265.31,26.45,11.46,39.80,88.54,40.33,48.74,8.41,8.41
2009,OK,Mathematics,4,Non-Special Education,238.98,223.02,239.76,255.32,23.91,15.24,49.91,84.76,31.54,34.85,3.31,3.31
2009,OR,Mathematics,4,Non-Special Education,241.19,223.60,242.30,259.50,26.70,15.75,43.92,84.25,34.76,40.33,5.57,5.57
2009,PA,Mathematics,4,Non-Special Education,246.87,229.14,248.77,265.61,26.84,11.74,38.66,88.26,41.29,49.59,8.30,8.30
2009,RI,Mathematics,4,Non-Special Education,243.50,226.75,245.26,262.27,26.64,13.36,42.28,86.64,38.57,44.37,5.80,5.80
2009,SC,Mathematics,4,Non-Special Education,239.29,221.51,240.11,258.26,27.17,17.41,45.43,82.59,32.03,37.16,5.13,5.13
2009,SD,Mathematics,4,Non-Special Education,244.59,229.77,245.99,261.20,24.55,10.82,44.41,89.18,39.71,44.77,5.06,5.06
2009,TN,Mathematics,4,Non-Special Education,234.38,216.81,235.51,253.35,26.40,22.13,47.35,77.87,27.83,30.51,2.68,2.68
2009,TX,Mathematics,4,Non-Special Education,241.95,225.67,242.61,258.83,24.56,12.66,47.36,87.34,35.48,39.98,4.51,4.51
2009,UT,Mathematics,4,Non-Special Education,242.84,224.67,245.06,262.31,28.11,15.61,40.39,84.39,37.31,44.00,6.69,6.69
2009,VT,Mathematics,4,Non-Special Education,252.20,236.16,253.00,269.13,24.32,6.58,36.96,93.42,45.69,56.46,10.76,10.76
2009,VA,Mathematics,4,Non-Special Education,245.65,227.46,245.87,264.06,26.05,11.31,43.16,88.69,37.68,45.53,7.85,7.85
2009,WA,Mathematics,4,Non-Special Education,245.31,228.37,246.90,263.70,26.81,12.19,41.34,87.81,38.96,46.47,7.52,7.52
2009,WV,Mathematics,4,Non-Special Education,236.05,219.70,236.55,253.30,24.44,18.43,50.68,81.57,28.39,30.89,2.51,2.51
2009,WI,Mathematics,4,Non-Special Education,246.87,229.93,248.46,265.43,26.85,11.32,39.43,88.68,40.76,49.25,8.50,8.50
2009,WY,Mathematics,4,Non-Special Education,244.63,229.35,245.34,260.70,22.95,9.28,46.70,90.72,39.54,44.02,4.48,4.48
2009,AL,Mathematics,8,Special Education,220.69,195.84,219.89,247.01,35.61,86.78,12.32,13.22,0.90,0.90,999.00,999.00
2009,AK,Mathematics,8,Special Education,246.98,224.50,247.47,269.89,33.47,65.92,27.91,34.08,5.73,6.17,999.00,999.00
2009,AZ,Mathematics,8,Special Education,235.46,209.13,235.27,261.16,39.20,75.34,19.81,24.66,4.01,4.85,0.84,0.84
2009,AR,Mathematics,8,Special Education,237.72,212.75,238.78,262.44,37.12,74.80,20.87,25.20,3.99,4.33,999.00,999.00
2009,CA,Mathematics,8,Special Education,229.37,204.21,227.11,253.64,36.96,81.54,15.18,18.46,2.85,3.28,999.00,999.00
2009,CO,Mathematics,8,Special Education,251.66,227.40,251.09,276.20,37.39,60.85,28.34,39.15,9.34,10.81,1.47,1.47
2009,CT,Mathematics,8,Special Education,256.09,229.58,258.10,284.48,38.20,53.67,32.98,46.33,12.45,13.35,0.90,0.90
2009,DE,Mathematics,8,Special Education,255.06,233.54,253.76,277.65,33.12,60.09,30.98,39.91,7.63,8.92,1.30,1.30
2009,DC,Mathematics,8,Special Education,212.68,191.67,212.23,232.19,32.11,93.82,5.27,6.18,0.90,0.90,999.00,999.00
2009,FL,Mathematics,8,Special Education,251.88,228.69,251.64,275.77,35.03,61.10,30.41,38.90,7.15,8.49,1.34,1.34
2009,GA,Mathematics,8,Special Education,244.61,222.49,243.42,265.95,34.84,71.61,22.06,28.39,4.84,6.33,1.49,1.49
2009,HI,Mathematics,8,Special Education,229.88,204.38,230.22,254.05,37.81,81.07,15.43,18.93,2.84,3.50,0.66,0.66
2009,ID,Mathematics,8,Special Education,248.16,223.43,245.94,271.59,35.92,65.41,26.33,34.59,7.01,8.26,1.25,1.25
2009,IL,Mathematics,8,Special Education,250.09,224.84,249.63,274.71,35.35,62.21,29.86,37.79,6.88,7.94,1.06,1.06
2009,IN,Mathematics,8,Special Education,258.12,236.47,255.11,279.01,32.56,59.39,28.75,40.61,10.53,11.87,1.34,1.34
2009,IA,Mathematics,8,Special Education,243.29,222.46,243.20,263.62,32.99,73.33,21.87,26.67,3.75,4.80,1.05,1.05
2009,KS,Mathematics,8,Special Education,253.90,231.92,253.72,274.29,34.67,60.42,30.86,39.58,7.13,8.72,1.58,1.58
2009,KY,Mathematics,8,Special Education,249.87,228.31,248.82,269.50,32.77,67.34,25.26,32.66,6.30,7.40,1.10,1.10
2009,LA,Mathematics,8,Special Education,244.29,221.89,242.87,264.29,34.16,72.32,21.62,27.68,4.73,6.06,1.33,1.33
2009,ME,Mathematics,8,Special Education,256.85,235.11,255.55,275.90,33.08,58.48,31.20,41.52,8.32,10.32,2.00,2.00
2009,MD,Mathematics,8,Special Education,264.63,239.36,266.20,290.95,35.68,45.88,35.94,54.12,16.65,18.18,1.53,1.53
2009,MA,Mathematics,8,Special Education,270.55,245.40,271.55,294.44,35.65,40.75,38.30,59.25,16.85,20.94,4.10,4.10
2009,MI,Mathematics,8,Special Education,239.07,216.37,240.41,261.87,33.61,74.95,22.37,25.05,1.99,2.68,0.68,0.68
2009,MN,Mathematics,8,Special Education,262.97,237.23,261.95,285.55,35.66,50.02,33.74,49.98,13.09,16.24,3.15,3.15
2009,MS,Mathematics,8,Special Education,232.85,212.63,233.47,255.33,30.86,81.93,16.69,18.07,1.38,1.38,999.00,999.00
2009,MO,Mathematics,8,Special Education,254.95,233.19,253.18,277.82,32.56,58.97,31.54,41.03,8.90,9.49,0.58,0.58
2009,MT,Mathematics,8,Special Education,243.98,222.00,245.14,269.18,36.74,69.01,24.54,30.99,6.00,6.45,999.00,999.00
2009,NE,Mathematics,8,Special Education,252.22,228.63,252.55,275.22,34.94,60.67,29.49,39.33,9.08,9.84,0.76,0.76
2009,NV,Mathematics,8,Special Education,242.02,214.44,240.61,266.56,38.96,70.74,20.18,29.26,8.27,9.08,0.81,0.81
2009,NH,Mathematics,8,Special Education,263.94,241.94,263.52,285.41,33.12,48.39,37.58,51.61,11.90,14.03,2.14,2.14
2009,NJ,Mathematics,8,Special Education,258.99,234.09,259.09,284.30,38.32,52.95,33.66,47.05,10.15,13.39,3.25,3.25
2009,NM,Mathematics,8,Special Education,236.49,210.53,235.61,259.94,36.64,76.51,17.87,23.49,5.57,5.62,999.00,999.00
2009,NY,Mathematics,8,Special Education,254.88,231.07,256.18,278.99,36.14,56.69,32.91,43.31,9.24,10.40,1.16,1.16
2009,NC,Mathematics,8,Special Education,251.37,225.85,251.09,277.02,38.28,61.46,27.24,38.54,9.75,11.30,1.55,1.55
2009,ND,Mathematics,8,Special Education,268.07,250.64,269.56,286.91,29.37,38.19,49.20,61.81,11.38,12.61,1.23,1.23
2009,OH,Mathematics,8,Special Education,254.94,229.98,255.30,281.03,36.42,57.14,31.52,42.86,9.94,11.34,1.40,1.40
2009,OK,Mathematics,8,Special Education,240.37,219.55,239.63,261.32,33.46,75.38,19.18,24.62,5.16,5.43,999.00,999.00
2009,OR,Mathematics,8,Special Education,245.88,221.23,243.47,269.83,34.55,67.76,26.25,32.24,5.17,5.99,0.82,0.82
2009,PA,Mathematics,8,Special Education,253.86,227.78,254.74,281.22,37.85,57.98,31.60,42.02,8.97,10.41,1.44,1.44
2009,RI,Mathematics,8,Special Education,244.95,223.42,245.83,266.47,32.49,70.37,24.46,29.63,4.66,5.16,999.00,999.00
2009,SC,Mathematics,8,Special Education,247.66,224.29,248.37,267.91,37.42,67.37,25.88,32.63,4.11,6.75,2.64,2.64
2009,SD,Mathematics,8,Special Education,254.68,232.44,253.88,274.97,32.05,60.29,32.15,39.71,5.57,7.56,1.98,1.98
2009,TN,Mathematics,8,Special Education,238.64,215.56,237.15,258.66,34.72,77.20,16.81,22.80,5.27,5.99,0.72,0.72
2009,TX,Mathematics,8,Special Education,253.90,226.24,252.74,279.19,38.85,59.50,26.53,40.50,11.42,13.98,2.55,2.55
2009,UT,Mathematics,8,Special Education,242.54,221.65,241.49,261.07,32.56,75.47,18.87,24.53,4.86,5.66,0.80,0.80
2009,VT,Mathematics,8,Special Education,260.76,237.23,258.75,282.10,32.83,53.02,36.23,46.98,8.16,10.75,2.59,2.59
2009,VA,Mathematics,8,Special Education,253.32,230.12,252.42,274.58,35.03,60.41,29.57,39.59,8.21,10.02,1.81,1.81
2009,WA,Mathematics,8,Special Education,247.96,224.93,246.34,271.35,33.62,65.58,28.71,34.42,4.73,5.72,0.99,0.99
2009,WV,Mathematics,8,Special Education,236.88,215.91,237.06,259.73,31.66,77.58,20.21,22.42,2.21,2.21,999.00,999.00
2009,WI,Mathematics,8,Special Education,254.92,230.11,257.22,280.59,35.60,55.22,35.17,44.78,8.68,9.61,0.93,0.93
2009,WY,Mathematics,8,Special Education,253.97,234.14,253.45,273.18,30.92,60.59,31.64,39.41,7.24,7.78,0.54,0.54
2009,AL,Mathematics,8,Non-Special Education,273.25,250.18,273.21,296.15,33.73,37.29,40.35,62.71,18.38,22.36,3.99,3.99
2009,AK,Mathematics,8,Non-Special Education,287.04,266.49,288.11,309.80,32.47,21.02,42.51,78.98,29.63,36.47,6.84,6.84
2009,AZ,Mathematics,8,Non-Special Education,281.96,259.18,282.72,305.61,35.00,27.87,40.47,72.13,24.94,31.66,6.72,6.72
2009,AR,Mathematics,8,Non-Special Education,280.97,258.99,281.94,303.69,32.59,28.01,42.07,71.99,25.07,29.93,4.86,4.86
2009,CA,Mathematics,8,Non-Special Education,273.93,249.01,273.43,299.24,36.96,37.49,37.36,62.51,19.63,25.15,5.52,5.52
2009,CO,Mathematics,8,Non-Special Education,290.91,267.30,292.17,315.59,34.83,20.89,36.54,79.11,31.69,42.57,10.88,10.88
2009,CT,Mathematics,8,Non-Special Education,292.81,271.03,293.50,316.54,33.22,17.76,39.06,82.24,31.84,43.18,11.34,11.34
2009,DE,Mathematics,8,Non-Special Education,288.23,267.73,287.67,308.39,29.83,19.10,45.69,80.90,28.24,35.20,6.96,6.96
2009,DC,Mathematics,8,Non-Special Education,259.01,235.23,257.71,281.36,35.24,55.01,32.39,44.99,10.15,12.60,2.44,2.44
2009,FL,Mathematics,8,Non-Special Education,283.53,261.98,283.82,305.89,32.58,25.06,42.81,74.94,25.90,32.13,6.23,6.23
2009,GA,Mathematics,8,Non-Special Education,280.79,257.69,279.95,303.17,32.54,29.47,41.70,70.53,22.97,28.82,5.85,5.85
2009,HI,Mathematics,8,Non-Special Education,279.34,257.51,280.62,302.06,33.44,29.12,42.78,70.88,23.23,28.10,4.87,4.87
2009,ID,Mathematics,8,Non-Special Education,290.63,269.68,291.71,313.01,31.99,18.20,40.88,81.80,32.30,40.92,8.62,8.62
2009,IL,Mathematics,8,Non-Special Education,286.58,263.98,287.54,309.50,33.24,22.90,40.80,77.10,28.33,36.31,7.98,7.98
2009,IN,Mathematics,8,Non-Special Education,290.03,269.36,290.25,311.03,30.53,18.07,43.05,81.93,30.91,38.88,7.96,7.96
2009,IA,Mathematics,8,Non-Special Education,289.90,270.13,290.29,309.59,29.56,16.84,45.18,83.16,30.68,37.98,7.30,7.30
2009,KS,Mathematics,8,Non-Special Education,292.13,270.91,292.68,313.82,31.13,16.97,40.40,83.03,33.49,42.63,9.14,9.14
2009,KY,Mathematics,8,Non-Special Education,281.75,260.45,281.14,302.95,31.17,26.56,44.55,73.44,23.82,28.89,5.08,5.08
2009,LA,Mathematics,8,Non-Special Education,276.73,255.77,275.35,296.27,31.10,32.57,44.96,67.43,17.87,22.47,4.60,4.60
2009,ME,Mathematics,8,Non-Special Education,291.76,271.50,291.34,312.28,30.21,15.92,44.25,84.08,30.58,39.83,9.24,9.24
2009,MD,Mathematics,8,Non-Special Education,289.79,263.98,290.32,316.56,37.02,23.53,35.07,76.47,28.56,41.40,12.84,12.84
2009,MA,Mathematics,8,Non-Special Education,303.52,281.74,304.71,326.69,33.98,10.51,32.72,89.49,37.39,56.77,19.38,19.38
2009,MI,Mathematics,8,Non-Special Education,282.65,259.29,284.26,307.63,35.74,27.43,38.94,72.57,26.41,33.64,7.22,7.22
2009,MN,Mathematics,8,Non-Special Education,298.17,276.73,299.45,320.77,32.54,13.56,35.87,86.44,36.12,50.57,14.45,14.45
2009,MS,Mathematics,8,Non-Special Education,267.70,245.89,267.76,289.12,31.23,42.69,40.97,57.31,14.63,16.34,1.71,1.71
2009,MO,Mathematics,8,Non-Special Education,289.20,268.39,289.73,311.00,30.92,19.15,42.50,80.85,31.01,38.35,7.35,7.35
2009,MT,Mathematics,8,Non-Special Education,296.65,277.31,296.96,316.95,30.03,11.99,40.45,88.01,36.49,47.57,11.07,11.07
2009,NE,Mathematics,8,Non-Special Education,288.30,267.15,289.59,310.68,32.51,20.60,41.63,79.40,29.31,37.77,8.46,8.46
2009,NV,Mathematics,8,Non-Special Education,277.21,254.07,276.29,300.30,33.61,33.53,40.22,66.47,21.28,26.25,4.97,4.97
2009,NH,Mathematics,8,Non-Special Education,298.48,278.00,298.78,319.76,30.41,11.85,38.50,88.15,36.47,49.65,13.18,13.18
2009,NJ,Mathematics,8,Non-Special Education,298.27,275.32,298.68,321.96,34.70,14.23,36.21,85.77,33.60,49.56,15.97,15.97
2009,NM,Mathematics,8,Non-Special Education,273.63,251.32,273.02,295.62,32.77,36.36,41.76,63.64,18.22,21.88,3.66,3.66
2009,NY,Mathematics,8,Non-Special Education,287.05,265.18,288.31,310.62,34.92,22.29,40.30,77.71,28.72,37.41,8.69,8.69
2009,NC,Mathematics,8,Non-Special Education,288.47,265.15,288.36,312.14,34.77,22.06,39.33,77.94,28.47,38.62,10.15,10.15
2009,ND,Mathematics,8,Non-Special Education,295.80,278.69,296.91,314.58,27.53,10.69,42.56,89.31,38.62,46.75,8.14,8.14
2009,OH,Mathematics,8,Non-Special Education,289.08,266.96,289.39,311.50,32.00,20.23,41.32,79.77,29.94,38.46,8.51,8.51
2009,OK,Mathematics,8,Non-Special Education,279.49,259.33,279.37,299.78,30.14,27.71,46.51,72.29,22.07,25.78,3.71,3.71
2009,OR,Mathematics,8,Non-Special Education,289.69,267.53,290.76,312.42,33.18,19.90,39.89,80.10,31.00,40.22,9.21,9.21
2009,PA,Mathematics,8,Non-Special Education,294.11,273.02,295.19,316.13,32.22,15.77,39.43,84.23,33.66,44.80,11.15,11.15
2009,RI,Mathematics,8,Non-Special Education,284.38,262.90,284.43,306.23,32.24,23.99,43.78,76.01,25.58,32.23,6.65,6.65
2009,SC,Mathematics,8,Non-Special Education,283.89,260.37,283.40,306.89,33.03,26.66,40.68,73.34,25.56,32.67,7.10,7.10
